Treatment Month,HSC Trust,% treated within 31 days,,,,,,,,
Aug-10,South Eastern,98.4,,,,,,,,
Aug-10,Southern,100.0,,,,,,,,
Aug-10,Western,100.0,,,,,,,,
Sep-10,Belfast,94.7,,,,,,,,
Sep-10,Northern,97.7,,,,,,,,
Sep-10,South Eastern,99.1,,,,,,,,
Sep-10,Southern,100.0,,,,,,,,
Sep-10,Western,100.0,,,,,,,,
Oct-10,Belfast,95.7,,,,,,,,
Oct-10,Northern,100.0,,,,,,,,
Oct-10,South Eastern,100.0,,,,,,,,
Oct-10,Southern,100.0,,,,,,,,
Oct-10,Western,100.0,,,,,,,,
Nov-10,Belfast,95.0,,,,,,,,
Nov-10,Northern,99.1,,,,,,,,
Nov-10,South Eastern,99.0,,,,,,,,
Nov-10,Southern,100.0,,,,,,,,
Nov-10,Western,100.0,,,,,,,,
Dec-10,Belfast,96.2,,,,,,,,
Dec-10,Northern,98.8,,,,,,,,
Dec-10,South Eastern,98.4,,,,,,,,
Dec-10,Southern,100.0,,,,,,,,
Dec-10,Western,100.0,,,,,,,,
Jan-11,Belfast,97.3,,,,,,,,
Jan-11,Northern,97.8,,,,,,,,
Jan-11,South Eastern,98.3,,,,,,,,
Jan-11,Southern,100.0,,,,,,,,
Jan-11,Western,98.9,,,,,,,,
Feb-11,Belfast,96.7,,,,,,,,
Feb-11,Northern,98.6,,,,,,,,
Feb-11,South Eastern,100.0,,,,,,,,
Feb-11,Southern,98.6,,,,,,,,
Feb-11,Western,100.0,,,,,,,,
Mar-11,Belfast,96.8,,,,,,,,
Mar-11,Northern,100.0,,,,,,,,
Mar-11,South Eastern,98.3,,,,,,,,
Mar-11,Southern,100.0,,,,,,,,
Mar-11,Western,98.2,,,,,,,,
Apr-11,Belfast,96.8,,,,,,,,
Apr-11,Northern,100.0,,,,,,,,
Apr-11,South Eastern,98.1,,,,,,,,
Apr-11,Southern,100.0,,,,,,,,
Apr-11,Western,100.0,,,,,,,,
May-11,Belfast,96.9,,,,,,,,
May-11,Northern,100.0,,,,,,,,
May-11,South Eastern,97.0,,,,,,,,
May-11,Southern,100.0,,,,,,,,
May-11,Western,98.9,,,,,,,,
Jun-11,Belfast,96.0,,,,,,,,
Jun-11,Northern,98.9,,,,,,,,
Jun-11,South Eastern,98.7,,,,,,,,
Jun-11,Southern,100.0,,,,,,,,
Jun-11,Western,99.0,,,,,,,,
Jul-11,Belfast,97.1,,,,,,,,
Jul-11,Northern,100.0,,,,,,,,
Jul-11,South Eastern,99.1,,,,,,,,
Jul-11,Southern,98.9,,,,,,,,
Jul-11,Western,97.5,,,,,,,,
Aug-11,Belfast,97.6,,,,,,,,
Aug-11,Northern,99.0,,,,,,,,
Aug-11,South Eastern,96.1,,,,,,,,
Aug-11,Southern,98.7,,,,,,,,
Aug-11,Western,97.7,,,,,,,,
Sep-11,Belfast,97.5,,,,,,,,
Sep-11,Northern,100.0,,,,,,,,
Sep-11,South Eastern,96.2,,,,,,,,
Sep-11,Southern,99.0,,,,,,,,
Sep-11,Western,100.0,,,,,,,,
Oct-11,Belfast,94.4,,,,,,,,
Oct-11,Northern,98.1,,,,,,,,
Oct-11,South Eastern,99.0,,,,,,,,
Oct-11,Southern,100.0,,,,,,,,
Oct-11,Western,100.0,,,,,,,,
Nov-11,Belfast,96.3,,,,,,,,
Nov-11,Northern,97.6,,,,,,,,
Nov-11,South Eastern,98.5,,,,,,,,
Nov-11,Southern,98.2,,,,,,,,
Nov-11,Western,96.8,,,,,,,,
Dec-11,Belfast,95.9,,,,,,,,
Dec-11,Northern,100.0,,,,,,,,
Dec-11,South Eastern,100.0,,,,,,,,
Dec-11,Southern,100.0,,,,,,,,
Dec-11,Western,98.6,,,,,,,,
Jan-12,Belfast,90.7,,,,,,,,
Jan-12,Northern,100.0,,,,,,,,
Jan-12,South Eastern,96.7,,,,,,,,
Jan-12,Southern,100.0,,,,,,,,
Jan-12,Western,97.4,,,,,,,,
Feb-12,Belfast,93.2,,,,,,,,
Feb-12,Northern,100.0,,,,,,,,
Feb-12,South Eastern,97.3,,,,,,,,
Feb-12,Southern,99.1,,,,,,,,
Feb-12,Western,98.9,,,,,,,,
Mar-12,Belfast,94.5,,,,,,,,
Mar-12,Northern,100.0,,,,,,,,
Mar-12,South Eastern,99.1,,,,,,,,
Mar-12,Southern,98.1,,,,,,,,
Mar-12,Western,98.9,,,,,,,,
Apr-12,Belfast,91.5,,,,,,,,
Apr-12,Northern,99.0,,,,,,,,
Apr-12,South Eastern,100.0,,,,,,,,
Apr-12,Southern,100.0,,,,,,,,
Apr-12,Western,100.0,,,,,,,,
May-12,Belfast,96.1,,,,,,,,
May-12,Northern,100.0,,,,,,,,
May-12,South Eastern,100.0,,,,,,,,
May-12,Southern,100.0,,,,,,,,
May-12,Western,99.1,,,,,,,,
Jun-12,Belfast,96.6,,,,,,,,
Jun-12,Northern,100.0,,,,,,,,
Jun-12,South Eastern,97.7,,,,,,,,
Jun-12,Southern,100.0,,,,,,,,
Jun-12,Western,97.7,,,,,,,,
Jul-12,Belfast,95.8,,,,,,,,
Jul-12,Northern,97.8,,,,,,,,
Jul-12,South Eastern,100.0,,,,,,,,
Jul-12,Southern,95.5,,,,,,,,
Jul-12,Western,99.0,,,,,,,,
Aug-12,Belfast,95.0,,,,,,,,
Aug-12,Northern,100.0,,,,,,,,
Aug-12,South Eastern,99.0,,,,,,,,
Aug-12,Southern,96.3,,,,,,,,
Aug-12,Western,100.0,,,,,,,,
Sep-12,Belfast,95.9,,,,,,,,
Sep-12,Northern,100.0,,,,,,,,
Sep-12,South Eastern,98.4,,,,,,,,
Sep-12,Southern,99.0,,,,,,,,
Sep-12,Western,100.0,,,,,,,,
Oct-12,Belfast,94.1,,,,,,,,
Oct-12,Northern,99.1,,,,,,,,
Oct-12,South Eastern,99.3,,,,,,,,
Oct-12,Southern,98.4,,,,,,,,
Oct-12,Western,98.1,,,,,,,,
Nov-12,Belfast,97.4,,,,,,,,
Nov-12,Northern,100.0,,,,,,,,
Nov-12,South Eastern,100.0,,,,,,,,
Nov-12,Southern,99.1,,,,,,,,
Nov-12,Western,100.0,,,,,,,,
Dec-12,Belfast,98.5,,,,,,,,
Dec-12,Northern,99.0,,,,,,,,
Dec-12,South Eastern,100.0,,,,,,,,
Dec-12,Southern,95.9,,,,,,,,
Dec-12,Western,98.8,,,,,,,,
Jan-13,Belfast,96.1,,,,,,,,
Jan-13,Northern,96.8,,,,,,,,
Jan-13,South Eastern,96.2,,,,,,,,
Jan-13,Southern,98.3,,,,,,,,
Jan-13,Western,100.0,,,,,,,,
Feb-13,Belfast,96.3,,,,,,,,
Feb-13,Northern,97.6,,,,,,,,
Feb-13,South Eastern,98.4,,,,,,,,
Feb-13,Southern,92.0,,,,,,,,
Feb-13,Western,100.0,,,,,,,,
Mar-13,Belfast,97.2,,,,,,,,
Mar-13,Northern,99.0,,,,,,,,
Mar-13,South Eastern,100.0,,,,,,,,
Mar-13,Southern,99.0,,,,,,,,
Mar-13,Western,100.0,,,,,,,,
Apr-13,Belfast,92.0,,,,,,,,
Apr-13,Northern,96.9,,,,,,,,
Apr-13,South Eastern,93.2,,,,,,,,
Apr-13,Southern,100.0,,,,,,,,
Apr-13,Western,100.0,,,,,,,,
May-13,Belfast,96.8,,,,,,,,
May-13,Northern,99.0,,,,,,,,
May-13,South Eastern,100.0,,,,,,,,
May-13,Southern,100.0,,,,,,,,
May-13,Western,100.0,,,,,,,,
Jun-13,Belfast,96.3,,,,,,,,
Jun-13,Northern,99.2,,,,,,,,
Jun-13,South Eastern,98.3,,,,,,,,
Jun-13,Southern,99.0,,,,,,,,
Jun-13,Western,100.0,,,,,,,,
Jul-13,Belfast,93.5,,,,,,,,
Jul-13,Northern,98.9,,,,,,,,
Jul-13,South Eastern,97.5,,,,,,,,
Jul-13,Southern,99.1,,,,,,,,
Jul-13,Western,98.8,,,,,,,,
Aug-13,Belfast,97.8,,,,,,,,
Aug-13,Northern,99.0,,,,,,,,
Aug-13,South Eastern,100.0,,,,,,,,
Aug-13,Southern,98.1,,,,,,,,
Aug-13,Western,100.0,,,,,,,,
Sep-13,Belfast,95.5,,,,,,,,
Sep-13,Northern,99.0,,,,,,,,
Sep-13,South Eastern,97.3,,,,,,,,
Sep-13,Southern,99.1,,,,,,,,
Sep-13,Western,100.0,,,,,,,,
Oct-13,Belfast,96.0,,,,,,,,
Oct-13,Northern,100.0,,,,,,,,
Oct-13,South Eastern,97.3,,,,,,,,
Oct-13,Southern,98.2,,,,,,,,
Oct-13,Western,100.0,,,,,,,,
Nov-13,Belfast,97.6,,,,,,,,
Nov-13,Northern,100.0,,,,,,,,
Nov-13,South Eastern,98.5,,,,,,,,
Nov-13,Southern,100.0,,,,,,,,
Nov-13,Western,100.0,,,,,,,,
Dec-13,Belfast,97.9,,,,,,,,
Dec-13,Northern,100.0,,,,,,,,
Dec-13,South Eastern,97.8,,,,,,,,
Dec-13,Southern,100.0,,,,,,,,
Dec-13,Western,100.0,,,,,,,,
Jan-14,Belfast,96.0,,,,,,,,
Jan-14,Northern,99.1,,,,,,,,
Jan-14,South Eastern,97.2,,,,,,,,
Jan-14,Southern,98.3,,,,,,,,
Jan-14,Western,100.0,,,,,,,,
Feb-14,Belfast,93.9,,,,,,,,
Feb-14,Northern,100.0,,,,,,,,
Feb-14,South Eastern,94.0,,,,,,,,
Feb-14,Southern,98.9,,,,,,,,
Feb-14,Western,100.0,,,,,,,,
Mar-14,Belfast,96.9,,,,,,,,
Mar-14,Northern,100.0,,,,,,,,
Mar-14,South Eastern,96.7,,,,,,,,
Mar-14,Southern,94.8,,,,,,,,
Mar-14,Western,100.0,,,,,,,,
Apr-14,Belfast,95.4,,,,,,,,
Apr-14,Northern,99.0,,,,,,,,
Apr-14,South Eastern,98.0,,,,,,,,
Apr-14,Southern,95.5,,,,,,,,
Apr-14,Western,100.0,,,,,,,,
May-14,Belfast,95.3,,,,,,,,
May-14,Northern,99.0,,,,,,,,
May-14,South Eastern,96.2,,,,,,,,
May-14,Southern,97.8,,,,,,,,
May-14,Western,99.0,,,,,,,,
Jun-14,Belfast,95.5,,,,,,,,
Jun-14,Northern,100.0,,,,,,,,
Jun-14,South Eastern,97.2,,,,,,,,
Jun-14,Southern,98.4,,,,,,,,
Jun-14,Western,100.0,,,,,,,,
Jul-14,Belfast,95.2,,,,,,,,
Jul-14,Northern,95.6,,,,,,,,
Jul-14,South Eastern,99.0,,,,,,,,
Jul-14,Southern,100.0,,,,,,,,
Jul-14,Western,100.0,,,,,,,,
Aug-14,Belfast,93.1,,,,,,,,
Aug-14,Northern,98.8,,,,,,,,
Aug-14,South Eastern,96.5,,,,,,,,
Aug-14,Southern,99.1,,,,,,,,
Aug-14,Western,100.0,,,,,,,,
Sep-14,Belfast,90.6,,,,,,,,
Sep-14,Northern,97.3,,,,,,,,
Sep-14,South Eastern,96.3,,,,,,,,
Sep-14,Southern,100.0,,,,,,,,
Sep-14,Western,100.0,,,,,,,,
Oct-14,Belfast,94.5,,,,,,,,
Oct-14,Northern,100.0,,,,,,,,
Oct-14,South Eastern,98.2,,,,,,,,
Oct-14,Southern,99.2,,,,,,,,
Oct-14,Western,100.0,,,,,,,,
Nov-14,Belfast,93.7,,,,,,,,
Nov-14,Northern,99.1,,,,,,,,
Nov-14,South Eastern,94.1,,,,,,,,
Nov-14,Southern,99.1,,,,,,,,
Nov-14,Western,100.0,,,,,,,,
Dec-14,Belfast,91.3,,,,,,,,
Dec-14,Northern,99.1,,,,,,,,
Dec-14,South Eastern,95.0,,,,,,,,
Dec-14,Southern,100.0,,,,,,,,
Dec-14,Western,100.0,,,,,,,,
Jan-15,Belfast,88.9,,,,,,,,
Jan-15,Northern,100.0,,,,,,,,
Jan-15,South Eastern,94.2,,,,,,,,
Jan-15,Southern,99.2,,,,,,,,
Jan-15,Western,100.0,,,,,,,,
Feb-15,Belfast,91.4,,,,,,,,
Feb-15,Northern,100.0,,,,,,,,
Feb-15,South Eastern,96.9,,,,,,,,
Feb-15,Southern,100.0,,,,,,,,
Feb-15,Western,100.0,,,,,,,,
Mar-15,Belfast,93.8,,,,,,,,
Mar-15,Northern,100.0,,,,,,,,
Mar-15,South Eastern,99.1,,,,,,,,
Mar-15,Southern,98.3,,,,,,,,
Mar-15,Western,100.0,,,,,,,,
Apr-15,Belfast,93.7,,,,,,,,
Apr-15,Northern,98.0,,,,,,,,
Apr-15,South Eastern,96.4,,,,,,,,
Apr-15,Southern,100.0,,,,,,,,
Apr-15,Western,100.0,,,,,,,,
May-15,Belfast,92.2,,,,,,,,
May-15,Northern,99.0,,,,,,,,
May-15,South Eastern,93.4,,,,,,,,
May-15,Southern,99.0,,,,,,,,
May-15,Western,100.0,,,,,,,,
Jun-15,Belfast,94.0,,,,,,,,
Jun-15,Northern,98.3,,,,,,,,
Jun-15,South Eastern,96.2,,,,,,,,
Jun-15,Southern,99.1,,,,,,,,
Jun-15,Western,100.0,,,,,,,,
Jul-15,Belfast,94.0,,,,,,,,
Jul-15,Northern,97.2,,,,,,,,
Jul-15,South Eastern,96.1,,,,,,,,
Jul-15,Southern,100.0,,,,,,,,
Jul-15,Western,100.0,,,,,,,,
Aug-15,Belfast,92.6,,,,,,,,
Aug-15,Northern,100.0,,,,,,,,
Aug-15,South Eastern,97.3,,,,,,,,
Aug-15,Southern,99.0,,,,,,,,
Aug-15,Western,100.0,,,,,,,,
Sep-15,Belfast,94.3,,,,,,,,
Sep-15,Northern,98.9,,,,,,,,
Sep-15,South Eastern,93.7,,,,,,,,
Sep-15,Southern,100.0,,,,,,,,
Sep-15,Western,99.0,,,,,,,,
Oct-15,Belfast,93.2,,,,,,,,
Oct-15,Northern,100.0,,,,,,,,
Oct-15,South Eastern,100.0,,,,,,,,
Oct-15,Southern,100.0,,,,,,,,
Oct-15,Western,99.2,,,,,,,,
Nov-15,Belfast,91.6,,,,,,,,
Nov-15,Northern,91.1,,,,,,,,
Nov-15,South Eastern,96.8,,,,,,,,
Nov-15,Southern,100.0,,,,,,,,
Nov-15,Western,100.0,,,,,,,,
Dec-15,Belfast,94.3,,,,,,,,
Dec-15,Northern,98.1,,,,,,,,
Dec-15,South Eastern,97.2,,,,,,,,
Dec-15,Southern,100.0,,,,,,,,
Dec-15,Western,100.0,,,,,,,,
Jan-16,Belfast,90.1,,,,,,,,
Jan-16,Northern,96.3,,,,,,,,
Jan-16,South Eastern,96.1,,,,,,,,
Jan-16,Southern,100.0,,,,,,,,
Jan-16,Western,99.1,,,,,,,,
Feb-16,Belfast,94.6,,,,,,,,
Feb-16,Northern,99.0,,,,,,,,
Feb-16,South Eastern,92.4,,,,,,,,
Feb-16,Southern,100.0,,,,,,,,
Feb-16,Western,100.0,,,,,,,,
Mar-16,Belfast,90.3,,,,,,,,
Mar-16,Northern,99.0,,,,,,,,
Mar-16,South Eastern,98.3,,,,,,,,
Mar-16,Southern,100.0,,,,,,,,
Mar-16,Western,100.0,,,,,,,,
Apr-16,Belfast,89.4,,,,,,,,
Apr-16,Northern,83.6,,,,,,,,
Apr-16,South Eastern,90.1,,,,,,,,
Apr-16,Southern,100.0,,,,,,,,
Apr-16,Western,100.0,,,,,,,,
May-16,Belfast,90.1,,,,,,,,
May-16,Northern,91.0,,,,,,,,
May-16,South Eastern,94.6,,,,,,,,
May-16,Southern,99.0,,,,,,,,
May-16,Western,100.0,,,,,,,,
Jun-16,Belfast,88.0,,,,,,,,
Jun-16,Northern,87.9,,,,,,,,
Jun-16,South Eastern,98.5,,,,,,,,
Jun-16,Southern,98.6,,,,,,,,
Jun-16,Western,100.0,,,,,,,,
Jul-16,Belfast,90.1,,,,,,,,
Jul-16,Northern,83.5,,,,,,,,
Jul-16,South Eastern,94.2,,,,,,,,
