Treatment Month,HSC Trust,% treated within 31 days,,,,,,,,
Aug-18,Western,99.2,,,,,,,,
Sep-18,Belfast,87.2,,,,,,,,
Sep-18,Northern,82.9,,,,,,,,
Sep-18,South Eastern,95.1,,,,,,,,
Sep-18,Southern,100.0,,,,,,,,
Sep-18,Western,98.6,,,,,,,,
Oct-18,Belfast,93.0,,,,,,,,
Oct-18,Northern,95.2,,,,,,,,
Oct-18,South Eastern,93.8,,,,,,,,
Oct-18,Southern,100.0,,,,,,,,
Oct-18,Western,99.5,,,,,,,,
Nov-18,Belfast,87.8,,,,,,,,
Nov-18,Northern,97.9,,,,,,,,
Nov-18,South Eastern,90.8,,,,,,,,
Nov-18,Southern,100.0,,,,,,,,
Nov-18,Western,98.7,,,,,,,,
Dec-18,Belfast,88.2,,,,,,,,
Dec-18,Northern,91.9,,,,,,,,
Dec-18,South Eastern,96.2,,,,,,,,
Dec-18,Southern,99.1,,,,,,,,
Dec-18,Western,100.0,,,,,,,,
Jan-19,Belfast,86.8,,,,,,,,
Jan-19,Northern,93.4,,,,,,,,
Jan-19,South Eastern,91.8,,,,,,,,
Jan-19,Southern,100.0,,,,,,,,
Jan-19,Western,100.0,,,,,,,,
Feb-19,Belfast,93.2,,,,,,,,
Feb-19,Northern,93.3,,,,,,,,
Feb-19,South Eastern,96.3,,,,,,,,
Feb-19,Southern,98.4,,,,,,,,
Feb-19,Western,100.0,,,,,,,,
Mar-19,Belfast,88.5,,,,,,,,
Mar-19,Northern,95.9,,,,,,,,
Mar-19,South Eastern,93.8,,,,,,,,
Mar-19,Southern,100.0,,,,,,,,
Mar-19,Western,100.0,,,,,,,,
Apr-19,Belfast,87.6,,,,,,,,
Apr-19,Northern,97.6,,,,,,,,
Apr-19,South Eastern,89.6,,,,,,,,
Apr-19,Southern,100.0,,,,,,,,
Apr-19,Western,98.2,,,,,,,,
May-19,Belfast,89.3,,,,,,,,
May-19,Northern,84.9,,,,,,,,
May-19,South Eastern,93.5,,,,,,,,
May-19,Southern,100.0,,,,,,,,
May-19,Western,99.3,,,,,,,,
Jun-19,Belfast,87.3,,,,,,,,
Jun-19,Northern,91.6,,,,,,,,
Jun-19,South Eastern,93.8,,,,,,,,
Jun-19,Southern,99.3,,,,,,,,
Jun-19,Western,99.3,,,,,,,,
