Month Seen,HSC Trust,% seen within 14 days,,,,
Feb-11,Western,100.0,,,,
Mar-11,Belfast,91.5,,,,
Mar-11,Northern,100.0,,,,
Mar-11,South Eastern,100.0,,,,
Mar-11,Southern,100.0,,,,
Mar-11,Western,100.0,,,,
Apr-11,Belfast,95.2,,,,
Apr-11,Northern,100.0,,,,
Apr-11,South Eastern,99.0,,,,
Apr-11,Southern,100.0,,,,
Apr-11,Western,100.0,,,,
May-11,Belfast,96.5,,,,
May-11,Northern,100.0,,,,
May-11,South Eastern,82.6,,,,
May-11,Southern,99.4,,,,
May-11,Western,100.0,,,,
Jun-11,Belfast,99.3,,,,
Jun-11,Northern,100.0,,,,
Jun-11,South Eastern,100.0,,,,
Jun-11,Southern,100.0,,,,
Jun-11,Western,100.0,,,,
Jul-11,Belfast,97.7,,,,
Jul-11,Northern,100.0,,,,
Jul-11,South Eastern,99.1,,,,
Jul-11,Southern,91.2,,,,
Jul-11,Western,100.0,,,,
Aug-11,Belfast,99.7,,,,
Aug-11,Northern,100.0,,,,
Aug-11,South Eastern,100.0,,,,
Aug-11,Southern,100.0,,,,
Aug-11,Western,100.0,,,,
Sep-11,Belfast,98.8,,,,
Sep-11,Northern,100.0,,,,
Sep-11,South Eastern,100.0,,,,
Sep-11,Southern,100.0,,,,
Sep-11,Western,100.0,,,,
Oct-11,Belfast,95.2,,,,
Oct-11,Northern,100.0,,,,
Oct-11,South Eastern,100.0,,,,
Oct-11,Southern,100.0,,,,
Oct-11,Western,100.0,,,,
Nov-11,Belfast,99.6,,,,
Nov-11,Northern,100.0,,,,
Nov-11,South Eastern,100.0,,,,
Nov-11,Southern,100.0,,,,
Nov-11,Western,100.0,,,,
Dec-11,Belfast,96.7,,,,
Dec-11,Northern,100.0,,,,
Dec-11,South Eastern,100.0,,,,
Dec-11,Southern,100.0,,,,
Dec-11,Western,100.0,,,,
Jan-12,Belfast,99.1,,,,
Jan-12,Northern,100.0,,,,
Jan-12,South Eastern,100.0,,,,
Jan-12,Southern,100.0,,,,
Jan-12,Western,100.0,,,,
Feb-12,Belfast,100.0,,,,
Feb-12,Northern,100.0,,,,
Feb-12,South Eastern,100.0,,,,
Feb-12,Southern,100.0,,,,
Feb-12,Western,100.0,,,,
Mar-12,Belfast,100.0,,,,
Mar-12,Northern,96.8,,,,
Mar-12,South Eastern,100.0,,,,
Mar-12,Southern,100.0,,,,
Mar-12,Western,100.0,,,,
Apr-12,Belfast,99.2,,,,
Apr-12,Northern,99.1,,,,
Apr-12,South Eastern,100.0,,,,
Apr-12,Southern,100.0,,,,
Apr-12,Western,100.0,,,,
May-12,Belfast,100.0,,,,
May-12,Northern,100.0,,,,
May-12,South Eastern,100.0,,,,
May-12,Southern,100.0,,,,
May-12,Western,100.0,,,,
Jun-12,Belfast,100.0,,,,
Jun-12,Northern,100.0,,,,
Jun-12,South Eastern,100.0,,,,
Jun-12,Southern,100.0,,,,
Jun-12,Western,100.0,,,,
Jul-12,Belfast,100.0,,,,
Jul-12,Northern,100.0,,,,
Jul-12,South Eastern,100.0,,,,
Jul-12,Southern,100.0,,,,
Jul-12,Western,100.0,,,,
Aug-12,Belfast,100.0,,,,
Aug-12,Northern,100.0,,,,
Aug-12,South Eastern,99.3,,,,
Aug-12,Southern,100.0,,,,
Aug-12,Western,100.0,,,,
Sep-12,Belfast,100.0,,,,
Sep-12,Northern,100.0,,,,
Sep-12,South Eastern,100.0,,,,
Sep-12,Southern,100.0,,,,
Sep-12,Western,100.0,,,,
Oct-12,Belfast,100.0,,,,
Oct-12,Northern,100.0,,,,
Oct-12,South Eastern,99.4,,,,
Oct-12,Southern,100.0,,,,
Oct-12,Western,100.0,,,,
Nov-12,Belfast,100.0,,,,
Nov-12,Northern,100.0,,,,
Nov-12,South Eastern,100.0,,,,
Nov-12,Southern,100.0,,,,
Nov-12,Western,100.0,,,,
Dec-12,Belfast,99.6,,,,
Dec-12,Northern,100.0,,,,
Dec-12,South Eastern,100.0,,,,
Dec-12,Southern,99.3,,,,
Dec-12,Western,100.0,,,,
Jan-13,Belfast,100.0,,,,
Jan-13,Northern,100.0,,,,
Jan-13,South Eastern,100.0,,,,
